isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST EAST 178 0
true false EAST SOUTH 177 10
true false SOUTH SOUTH 177 10
true false SOUTH EAST 177 10
true false EAST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST NORTH 175 30
true false NORTH EAST 175 30
true false EAST EAST 174 40
true false EAST WEST 173 50
true false WEST NORTH 173 50
true false NORTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST WEST 173 50
true false WEST WEST 173 50
true false WEST NORTH 173 50
true false NORTH EAST 173 50
true false EAST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST NORTH 173 50
true false NORTH EAST 172 60
true false EAST WEST 172 60
true false WEST NORTH 172 60
true false NORTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST WEST 171 70
true false WEST WEST 171 70
true false WEST WEST 171 70
true false WEST WEST 171 70
true false WEST WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 169 90
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST WEST 166 120
true false WEST WEST 166 120
true false WEST EAST 166 120
true false EAST NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST WEST 166 120
true false WEST NORTH 166 120
true false NORTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST EAST 166 120
true false EAST WEST 166 120
true false WEST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST WEST 166 120
true false WEST WEST 166 120
true false WEST EAST 166 120
true false EAST EAST 166 120
true false EAST EAST 166 120
true false EAST WEST 166 120
true false WEST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH EAST 166 120
true false EAST WEST 166 120
true false WEST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH EAST 166 120
true false EAST WEST 166 120
true false WEST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH WEST 166 120
