isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST WEST 178 0
true false WEST WEST 177 10
true false WEST NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH NORTH 176 20
true false NORTH EAST 176 20
true false EAST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST EAST 176 20
true false EAST WEST 176 20
true false WEST NORTH 176 20
true false NORTH EAST 176 20
true false EAST NORTH 176 20
true false NORTH SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH NORTH 175 30
true false NORTH NORTH 175 30
true false NORTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST WEST 174 40
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST EAST 174 40
true false EAST WEST 174 40
true false WEST WEST 174 40
true false WEST EAST 173 50
true false EAST EAST 173 50
true false EAST EAST 173 50
true false EAST WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH EAST 173 50
true false EAST NORTH 172 60
true false NORTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH EAST 170 80
true false EAST EAST 169 90
true false EAST WEST 168 100
true false WEST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST WEST 168 100
true false WEST WEST 168 100
true false WEST WEST 168 100
true false WEST WEST 168 100
true false WEST NORTH 168 100
true false NORTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST EAST 168 100
true false EAST WEST 167 110
true false WEST EAST 167 110
true false EAST EAST 167 110
true false EAST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH WEST 166 120
true false WEST WEST 166 120
true false WEST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST WEST 166 120
true false WEST WEST 166 120
true false WEST EAST 166 120
true false EAST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST EAST 166 120
true false EAST EAST 165 130
true false EAST WEST 164 140
true false WEST NORTH 164 140
true false NORTH NORTH 163 150
true false NORTH WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH WEST 162 160
