isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST SOUTH 177 10
true false SOUTH EAST 177 10
true false EAST EAST 176 20
true false EAST EAST 175 30
true false EAST NORTH 174 40
true false NORTH EAST 174 40
true false EAST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST EAST 172 60
true false EAST NORTH 172 60
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST WEST 170 80
true false WEST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH SOUTH 169 90
true false SOUTH NORTH 169 90
true false NORTH EAST 169 90
true false EAST EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 169 90
true false NORTH WEST 169 90
true false WEST WEST 169 90
true false WEST WEST 169 90
true false WEST WEST 169 90
true false WEST SOUTH 169 90
true false SOUTH WEST 169 90
true false WEST EAST 169 90
true false EAST NORTH 169 90
true false NORTH EAST 168 100
true false EAST EAST 168 100
true false EAST EAST 168 100
true false EAST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST NORTH 168 100
true false NORTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST EAST 166 120
true false EAST WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH WEST 165 130
true false WEST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH NORTH 165 130
true false NORTH SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST WEST 165 130
true false WEST WEST 165 130
true false WEST EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST NORTH 165 130
true false NORTH WEST 165 130
true false WEST EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST NORTH 165 130
true false NORTH EAST 165 130
true false EAST SOUTH 165 130
true false SOUTH EAST 165 130
true false EAST WEST 165 130
true false WEST NORTH 165 130
true false NORTH WEST 165 130
true false WEST WEST 165 130
true false WEST WEST 165 130
true false WEST WEST 165 130
true false WEST WEST 164 140
true false WEST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST EAST 162 160
true false EAST EAST 162 160
true false EAST SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST WEST 162 160
true false WEST SOUTH 162 160
true false SOUTH WEST 162 160
true false WEST NORTH 162 160
true false NORTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH WEST 161 170
true false WEST WEST 161 170
true false WEST EAST 161 170
true false EAST WEST 161 170
true false WEST WEST 161 170
true false WEST EAST 161 170
true false EAST SOUTH 161 170
true false SOUTH WEST 161 170
true false WEST WEST 161 170
true false WEST NORTH 161 170
true false NORTH WEST 161 170
true false WEST SOUTH 160 180
true false SOUTH NORTH 159 190
true false NORTH WEST 159 190
true false WEST SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH NORTH 158 200
true false NORTH SOUTH 158 200
true false SOUTH EAST 158 200
true false EAST EAST 158 200
true false EAST WEST 158 200
true false WEST EAST 158 200
true false EAST WEST 158 200
true false WEST SOUTH 158 200
true false SOUTH EAST 157 210
true false EAST NORTH 156 220
true false NORTH WEST 156 220
true false WEST NORTH 156 220
true false NORTH WEST 156 220
true false WEST WEST 156 220
true false WEST EAST 156 220
true false EAST NORTH 156 220
true false NORTH NORTH 156 220
true false NORTH EAST 156 220
true false EAST NORTH 156 220
true false NORTH WEST 156 220
true false WEST NORTH 156 220
true false NORTH WEST 156 220
true false WEST EAST 156 220
true false EAST NORTH 156 220
true false NORTH EAST 156 220
true false EAST SOUTH 156 220
true false SOUTH NORTH 156 220
true false NORTH NORTH 156 220
true false NORTH NORTH 156 220
true false NORTH SOUTH 156 220
true false SOUTH SOUTH 156 220
true false SOUTH NORTH 156 220
true false NORTH NORTH 156 220
true false NORTH WEST 156 220
true false WEST WEST 156 220
true false WEST WEST 156 220
true false WEST NORTH 155 230
true false NORTH NORTH 154 240
true false NORTH SOUTH 153 250
true false SOUTH NORTH 153 250
true false NORTH WEST 153 250
true false WEST NORTH 152 260
true false NORTH NORTH 152 260
true false NORTH EAST 152 260
true false EAST SOUTH 152 260
true false SOUTH SOUTH 152 260
true false SOUTH WEST 152 260
